21|Evaluate Outcomes|D
23|Mini-Pilot Worksheet|D
15|Phrase the Challenge|H
2|Community-Driven Discovery|H
38|Farming interview guide|H
18|Empathic Design|C
32|Diagrams|C
37|Sacrificial Concepts|H
8|Models|C
0|Individual Interview|H
36|Role-Play|C
4|Observe vs. Interpret|H
5|Find Themes|C
26|Storytelling With Purpose|C
35|Extremes and Mainstreams|H
7|Back It Out|C
22|Innovation 2x2|D
24|Inspiration In New Places|H
28|Brainstorm Warm Up|C
12|Try Out A Model|D
11|The Learning Loop|D
30|Beginners Mind|H
33|Recruiting Tools|H
20|Capabilities Quick Sheet|D
27|Holistic Impact Assessment|D
31|Track Indicators|D
1|In-Context Immersion|H
14|Group Interview|H
9|Storyboards|C
19|Extract Key Insights|C
6|Create Frameworks|C
34|Health Interview Guide|H
10|Expert Interviews|H
13|Build On The Idea|C
29|Implementation Timeline|D
16|Self-Documentation|H
3|Interview Techniques|H
17|Participatory Co-Design|C
25|Interview Guide (General)|H
